date,milkweed.ID,time,name.1,name.2,name.3,kit.ID,milkweed.status,percent.green,monarch1.stage,monarch1.length,monarch2.stage,monarch2.length,monarch3.stage,monarch3.length,monarch4.stage,monarch4.length,monarch5.stage,monarch5.length,more.monarchs.stage.length,leaf.damage,umbel.count,pod.count,stem.count,len.1,len.2,len.3,len.4,len.5,len.6,len.7,len.8,len.9,len.10,dia.1,dia.2,dia.3,dia.4,dia.5,dia.6,dia.7,dia.8,dia.9,dia.10,notes
7/15/2016,199,10:33,Brenda Phrakonekham,Fnu Anoman,,1,N.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2016,200,10:33,Brenda Phrakonekham,Fnu Anoman,,1,ALIVE,97%,,,,,,,,,,,,0%,12,6,12,67,56,54,66,63,18,14,68,50,15,4.5,4,5.7,4.8,2.2,2.1,1.5,5.1,6.4,5.2,
7/15/2016,201,10:36,Brenda Phrakonekham,Fnu Anoman,,1,N.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2016,202,10:37,Brenda Phrakonekham,Fnu Anoman,,1,N.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2016,203,10:37,Brenda Phrakonekham,Fnu Anoman,,1,ALIVE,100%,,,,,,,,,,,,0%,2,3,6,45,35,40,29,44,19,,,,,5.3,5.3,1.2,1.6,4.5,0.5,,,,,
7/15/2016,204,10:39,Brenda Phrakonekham,Fnu Anoman,,1,ALIVE,100%,,,,,,,,,,,,0%,0,0,1,37,,,,,,,,,,2.9,,,,,,,,,,
7/15/2016,205,10:40,Brenda Phrakonekham,Fnu Anoman,,1,N.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2016,206,10:40,Brenda Phrakonekham,Fnu Anoman,,1,N.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2016,207,10:41,Brenda Phrakonekham,Fnu Anoman,,1,N.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2016,208,10:41,Brenda Phrakonekham,Fnu Anoman,,1,ALIVE,100%,,,,,,,,,,,,0%,0,0,1,10,,,,,,,,,,2.2,,,,,,,,,,
7/15/2016,209,10:42,Brenda Phrakonekham,Fnu Anoman,,1,N.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
